Query,Result
11,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3063, http://db.uwaterloo.ca/~galuc/wsdbm/User4468, http://db.uwaterloo.ca/~galuc/wsdbm/User5234, http://db.uwaterloo.ca/~galuc/wsdbm/User3622, http://db.uwaterloo.ca/~galuc/wsdbm/User2351, http://db.uwaterloo.ca/~galuc/wsdbm/User8566, http://db.uwaterloo.ca/~galuc/wsdbm/User18811]"
12,"[http://db.uwaterloo.ca/~galuc/wsdbm/User13266, http://db.uwaterloo.ca/~galuc/wsdbm/User17037, http://db.uwaterloo.ca/~galuc/wsdbm/User19550, http://db.uwaterloo.ca/~galuc/wsdbm/User3170]"
13,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4593, http://db.uwaterloo.ca/~galuc/wsdbm/User2372, http://db.uwaterloo.ca/~galuc/wsdbm/User17990, http://db.uwaterloo.ca/~galuc/wsdbm/User13217, http://db.uwaterloo.ca/~galuc/wsdbm/User5888, http://db.uwaterloo.ca/~galuc/wsdbm/User11335]"
14,"[http://db.uwaterloo.ca/~galuc/wsdbm/User6579, http://db.uwaterloo.ca/~galuc/wsdbm/User13170, http://db.uwaterloo.ca/~galuc/wsdbm/User5020]"
15,"[http://db.uwaterloo.ca/~galuc/wsdbm/User17341, http://db.uwaterloo.ca/~galuc/wsdbm/User339, http://db.uwaterloo.ca/~galuc/wsdbm/User13140, http://db.uwaterloo.ca/~galuc/wsdbm/User11435, http://db.uwaterloo.ca/~galuc/wsdbm/User3741, http://db.uwaterloo.ca/~galuc/wsdbm/User17101]"
16,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14872, http://db.uwaterloo.ca/~galuc/wsdbm/User19910, http://db.uwaterloo.ca/~galuc/wsdbm/User6322]"
17,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3148, http://db.uwaterloo.ca/~galuc/wsdbm/User12685, http://db.uwaterloo.ca/~galuc/wsdbm/User19361, http://db.uwaterloo.ca/~galuc/wsdbm/User960]"
18,"[http://db.uwaterloo.ca/~galuc/wsdbm/User1250, http://db.uwaterloo.ca/~galuc/wsdbm/User3183, http://db.uwaterloo.ca/~galuc/wsdbm/User14565, http://db.uwaterloo.ca/~galuc/wsdbm/User788, http://db.uwaterloo.ca/~galuc/wsdbm/User1567, http://db.uwaterloo.ca/~galuc/wsdbm/User6925, http://db.uwaterloo.ca/~galuc/wsdbm/User13876, http://db.uwaterloo.ca/~galuc/wsdbm/User8789, http://db.uwaterloo.ca/~galuc/wsdbm/User7729]"
19,"[http://db.uwaterloo.ca/~galuc/wsdbm/User19170, http://db.uwaterloo.ca/~galuc/wsdbm/User14013, http://db.uwaterloo.ca/~galuc/wsdbm/User14052]"
20,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14872, http://db.uwaterloo.ca/~galuc/wsdbm/User19910, http://db.uwaterloo.ca/~galuc/wsdbm/User6322]"
21,"[http://db.uwaterloo.ca/~galuc/wsdbm/User11049, http://db.uwaterloo.ca/~galuc/wsdbm/User6961]"
22,"[http://db.uwaterloo.ca/~galuc/wsdbm/User2118, http://db.uwaterloo.ca/~galuc/wsdbm/User6363, http://db.uwaterloo.ca/~galuc/wsdbm/User9267, http://db.uwaterloo.ca/~galuc/wsdbm/User10515, http://db.uwaterloo.ca/~galuc/wsdbm/User16103, http://db.uwaterloo.ca/~galuc/wsdbm/User7502, http://db.uwaterloo.ca/~galuc/wsdbm/User17108]"
23,"[http://db.uwaterloo.ca/~galuc/wsdbm/User6729, http://db.uwaterloo.ca/~galuc/wsdbm/User16898, http://db.uwaterloo.ca/~galuc/wsdbm/User12219, http://db.uwaterloo.ca/~galuc/wsdbm/User15139, http://db.uwaterloo.ca/~galuc/wsdbm/User3748]"
24,"[http://db.uwaterloo.ca/~galuc/wsdbm/User10207, http://db.uwaterloo.ca/~galuc/wsdbm/User682, http://db.uwaterloo.ca/~galuc/wsdbm/User4235, http://db.uwaterloo.ca/~galuc/wsdbm/User17534, http://db.uwaterloo.ca/~galuc/wsdbm/User12415, http://db.uwaterloo.ca/~galuc/wsdbm/User13581, http://db.uwaterloo.ca/~galuc/wsdbm/User6426]"
25,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9791, http://db.uwaterloo.ca/~galuc/wsdbm/User7601, http://db.uwaterloo.ca/~galuc/wsdbm/User2140]"
26,[http://db.uwaterloo.ca/~galuc/wsdbm/User11672]
27,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3377, http://db.uwaterloo.ca/~galuc/wsdbm/User3138, http://db.uwaterloo.ca/~galuc/wsdbm/User15662]"
28,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4465, http://db.uwaterloo.ca/~galuc/wsdbm/User6728, http://db.uwaterloo.ca/~galuc/wsdbm/User10888, http://db.uwaterloo.ca/~galuc/wsdbm/User4307, http://db.uwaterloo.ca/~galuc/wsdbm/User2251, http://db.uwaterloo.ca/~galuc/wsdbm/User13207, http://db.uwaterloo.ca/~galuc/wsdbm/User11976, http://db.uwaterloo.ca/~galuc/wsdbm/User10541, http://db.uwaterloo.ca/~galuc/wsdbm/User17207, http://db.uwaterloo.ca/~galuc/wsdbm/User16505]"
29,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14517, http://db.uwaterloo.ca/~galuc/wsdbm/User2324, http://db.uwaterloo.ca/~galuc/wsdbm/User7420, http://db.uwaterloo.ca/~galuc/wsdbm/User18579, http://db.uwaterloo.ca/~galuc/wsdbm/User1297]"
30,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15488, http://db.uwaterloo.ca/~galuc/wsdbm/User6854, http://db.uwaterloo.ca/~galuc/wsdbm/User19567, http://db.uwaterloo.ca/~galuc/wsdbm/User1443, http://db.uwaterloo.ca/~galuc/wsdbm/User4383, http://db.uwaterloo.ca/~galuc/wsdbm/User6382, http://db.uwaterloo.ca/~galuc/wsdbm/User8734, http://db.uwaterloo.ca/~galuc/wsdbm/User4508, http://db.uwaterloo.ca/~galuc/wsdbm/User13045, http://db.uwaterloo.ca/~galuc/wsdbm/User12610, http://db.uwaterloo.ca/~galuc/wsdbm/User9235, http://db.uwaterloo.ca/~galuc/wsdbm/User5598, http://db.uwaterloo.ca/~galuc/wsdbm/User2620, http://db.uwaterloo.ca/~galuc/wsdbm/User16389, http://db.uwaterloo.ca/~galuc/wsdbm/User15788, http://db.uwaterloo.ca/~galuc/wsdbm/User10458, http://db.uwaterloo.ca/~galuc/wsdbm/User14071, http://db.uwaterloo.ca/~galuc/wsdbm/User8548, http://db.uwaterloo.ca/~galuc/wsdbm/User3723, http://db.uwaterloo.ca/~galuc/wsdbm/User6615, http://db.uwaterloo.ca/~galuc/wsdbm/User19808, http://db.uwaterloo.ca/~galuc/wsdbm/User16260, http://db.uwaterloo.ca/~galuc/wsdbm/User7252, http://db.uwaterloo.ca/~galuc/wsdbm/User8407, http://db.uwaterloo.ca/~galuc/wsdbm/User6141, http://db.uwaterloo.ca/~galuc/wsdbm/User13031, http://db.uwaterloo.ca/~galuc/wsdbm/User11124, http://db.uwaterloo.ca/~galuc/wsdbm/User4215, http://db.uwaterloo.ca/~galuc/wsdbm/User14960, http://db.uwaterloo.ca/~galuc/wsdbm/User3438]"
31,"[http://db.uwaterloo.ca/~galuc/wsdbm/User8833, http://db.uwaterloo.ca/~galuc/wsdbm/User4162, http://db.uwaterloo.ca/~galuc/wsdbm/User16287, http://db.uwaterloo.ca/~galuc/wsdbm/User4461]"
32,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4018, http://db.uwaterloo.ca/~galuc/wsdbm/User15578, http://db.uwaterloo.ca/~galuc/wsdbm/User48, http://db.uwaterloo.ca/~galuc/wsdbm/User11428, http://db.uwaterloo.ca/~galuc/wsdbm/User8159, http://db.uwaterloo.ca/~galuc/wsdbm/User10417, http://db.uwaterloo.ca/~galuc/wsdbm/User11603, http://db.uwaterloo.ca/~galuc/wsdbm/User2953, http://db.uwaterloo.ca/~galuc/wsdbm/User10410, http://db.uwaterloo.ca/~galuc/wsdbm/User12264, http://db.uwaterloo.ca/~galuc/wsdbm/User12101, http://db.uwaterloo.ca/~galuc/wsdbm/User4352, http://db.uwaterloo.ca/~galuc/wsdbm/User18300, http://db.uwaterloo.ca/~galuc/wsdbm/User5884, http://db.uwaterloo.ca/~galuc/wsdbm/User7738, http://db.uwaterloo.ca/~galuc/wsdbm/User8360, http://db.uwaterloo.ca/~galuc/wsdbm/User14062, http://db.uwaterloo.ca/~galuc/wsdbm/User3037, http://db.uwaterloo.ca/~galuc/wsdbm/User14949, http://db.uwaterloo.ca/~galuc/wsdbm/User446, http://db.uwaterloo.ca/~galuc/wsdbm/User18306, http://db.uwaterloo.ca/~galuc/wsdbm/User1491, http://db.uwaterloo.ca/~galuc/wsdbm/User14731, http://db.uwaterloo.ca/~galuc/wsdbm/User12346, http://db.uwaterloo.ca/~galuc/wsdbm/User15854, http://db.uwaterloo.ca/~galuc/wsdbm/User16466, http://db.uwaterloo.ca/~galuc/wsdbm/User10928, http://db.uwaterloo.ca/~galuc/wsdbm/User9079, http://db.uwaterloo.ca/~galuc/wsdbm/User6171, http://db.uwaterloo.ca/~galuc/wsdbm/User11854, http://db.uwaterloo.ca/~galuc/wsdbm/User715, http://db.uwaterloo.ca/~galuc/wsdbm/User6147, http://db.uwaterloo.ca/~galuc/wsdbm/User18580, http://db.uwaterloo.ca/~galuc/wsdbm/User10206, http://db.uwaterloo.ca/~galuc/wsdbm/User6989, http://db.uwaterloo.ca/~galuc/wsdbm/User6920, http://db.uwaterloo.ca/~galuc/wsdbm/User7783, http://db.uwaterloo.ca/~galuc/wsdbm/User11180, http://db.uwaterloo.ca/~galuc/wsdbm/User14504, http://db.uwaterloo.ca/~galuc/wsdbm/User16173, http://db.uwaterloo.ca/~galuc/wsdbm/User4322, http://db.uwaterloo.ca/~galuc/wsdbm/User14133, http://db.uwaterloo.ca/~galuc/wsdbm/User2963, http://db.uwaterloo.ca/~galuc/wsdbm/User1725, http://db.uwaterloo.ca/~galuc/wsdbm/User16206, http://db.uwaterloo.ca/~galuc/wsdbm/User4881, http://db.uwaterloo.ca/~galuc/wsdbm/User18326, http://db.uwaterloo.ca/~galuc/wsdbm/User12758, http://db.uwaterloo.ca/~galuc/wsdbm/User15595, http://db.uwaterloo.ca/~galuc/wsdbm/User17519, http://db.uwaterloo.ca/~galuc/wsdbm/User15343, http://db.uwaterloo.ca/~galuc/wsdbm/User10755, http://db.uwaterloo.ca/~galuc/wsdbm/User611, http://db.uwaterloo.ca/~galuc/wsdbm/User11728, http://db.uwaterloo.ca/~galuc/wsdbm/User9962, http://db.uwaterloo.ca/~galuc/wsdbm/User10820, http://db.uwaterloo.ca/~galuc/wsdbm/User5090, http://db.uwaterloo.ca/~galuc/wsdbm/User9320, http://db.uwaterloo.ca/~galuc/wsdbm/User9405, http://db.uwaterloo.ca/~galuc/wsdbm/User14751, http://db.uwaterloo.ca/~galuc/wsdbm/User5557, http://db.uwaterloo.ca/~galuc/wsdbm/User7157, http://db.uwaterloo.ca/~galuc/wsdbm/User3960, http://db.uwaterloo.ca/~galuc/wsdbm/User11084, http://db.uwaterloo.ca/~galuc/wsdbm/User4522, http://db.uwaterloo.ca/~galuc/wsdbm/User12322, http://db.uwaterloo.ca/~galuc/wsdbm/User1643, http://db.uwaterloo.ca/~galuc/wsdbm/User18492, http://db.uwaterloo.ca/~galuc/wsdbm/User4599, http://db.uwaterloo.ca/~galuc/wsdbm/User2493, http://db.uwaterloo.ca/~galuc/wsdbm/User13119, http://db.uwaterloo.ca/~galuc/wsdbm/User7864, http://db.uwaterloo.ca/~galuc/wsdbm/User8609, http://db.uwaterloo.ca/~galuc/wsdbm/User11234, http://db.uwaterloo.ca/~galuc/wsdbm/User6661]"
33,"[http://db.uwaterloo.ca/~galuc/wsdbm/User13266, http://db.uwaterloo.ca/~galuc/wsdbm/User17037, http://db.uwaterloo.ca/~galuc/wsdbm/User19550, http://db.uwaterloo.ca/~galuc/wsdbm/User3170]"
34,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14356, http://db.uwaterloo.ca/~galuc/wsdbm/User8072, http://db.uwaterloo.ca/~galuc/wsdbm/User17438, http://db.uwaterloo.ca/~galuc/wsdbm/User17066, http://db.uwaterloo.ca/~galuc/wsdbm/User12632, http://db.uwaterloo.ca/~galuc/wsdbm/User13424, http://db.uwaterloo.ca/~galuc/wsdbm/User13009, http://db.uwaterloo.ca/~galuc/wsdbm/User235, http://db.uwaterloo.ca/~galuc/wsdbm/User14783, http://db.uwaterloo.ca/~galuc/wsdbm/User18754, http://db.uwaterloo.ca/~galuc/wsdbm/User18255, http://db.uwaterloo.ca/~galuc/wsdbm/User7335, http://db.uwaterloo.ca/~galuc/wsdbm/User15665]"
35,[]
36,"[http://db.uwaterloo.ca/~galuc/wsdbm/User7529, http://db.uwaterloo.ca/~galuc/wsdbm/User12152, http://db.uwaterloo.ca/~galuc/wsdbm/User7046, http://db.uwaterloo.ca/~galuc/wsdbm/User4735, http://db.uwaterloo.ca/~galuc/wsdbm/User12443, http://db.uwaterloo.ca/~galuc/wsdbm/User7909, http://db.uwaterloo.ca/~galuc/wsdbm/User2190]"
37,"[http://db.uwaterloo.ca/~galuc/wsdbm/User11566, http://db.uwaterloo.ca/~galuc/wsdbm/User9906, http://db.uwaterloo.ca/~galuc/wsdbm/User7220, http://db.uwaterloo.ca/~galuc/wsdbm/User15984, http://db.uwaterloo.ca/~galuc/wsdbm/User784, http://db.uwaterloo.ca/~galuc/wsdbm/User1978, http://db.uwaterloo.ca/~galuc/wsdbm/User9775]"
38,"[http://db.uwaterloo.ca/~galuc/wsdbm/User18229, http://db.uwaterloo.ca/~galuc/wsdbm/User19967, http://db.uwaterloo.ca/~galuc/wsdbm/User11681, http://db.uwaterloo.ca/~galuc/wsdbm/User9362, http://db.uwaterloo.ca/~galuc/wsdbm/User8299, http://db.uwaterloo.ca/~galuc/wsdbm/User15703, http://db.uwaterloo.ca/~galuc/wsdbm/User10572, http://db.uwaterloo.ca/~galuc/wsdbm/User16027, http://db.uwaterloo.ca/~galuc/wsdbm/User5202, http://db.uwaterloo.ca/~galuc/wsdbm/User3923, http://db.uwaterloo.ca/~galuc/wsdbm/User579, http://db.uwaterloo.ca/~galuc/wsdbm/User8572, http://db.uwaterloo.ca/~galuc/wsdbm/User2924, http://db.uwaterloo.ca/~galuc/wsdbm/User9838]"
39,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9950, http://db.uwaterloo.ca/~galuc/wsdbm/User13085, http://db.uwaterloo.ca/~galuc/wsdbm/User7123, http://db.uwaterloo.ca/~galuc/wsdbm/User9171, http://db.uwaterloo.ca/~galuc/wsdbm/User7089, http://db.uwaterloo.ca/~galuc/wsdbm/User17832, http://db.uwaterloo.ca/~galuc/wsdbm/User12333, http://db.uwaterloo.ca/~galuc/wsdbm/User11773, http://db.uwaterloo.ca/~galuc/wsdbm/User12890, http://db.uwaterloo.ca/~galuc/wsdbm/User3175, http://db.uwaterloo.ca/~galuc/wsdbm/User8086, http://db.uwaterloo.ca/~galuc/wsdbm/User5319, http://db.uwaterloo.ca/~galuc/wsdbm/User14961, http://db.uwaterloo.ca/~galuc/wsdbm/User4696]"
40,"[http://db.uwaterloo.ca/~galuc/wsdbm/User16871, http://db.uwaterloo.ca/~galuc/wsdbm/User5442, http://db.uwaterloo.ca/~galuc/wsdbm/User10726, http://db.uwaterloo.ca/~galuc/wsdbm/User18945]"
41,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9491, http://db.uwaterloo.ca/~galuc/wsdbm/User1653, http://db.uwaterloo.ca/~galuc/wsdbm/User19130, http://db.uwaterloo.ca/~galuc/wsdbm/User15800, http://db.uwaterloo.ca/~galuc/wsdbm/User8491, http://db.uwaterloo.ca/~galuc/wsdbm/User7311, http://db.uwaterloo.ca/~galuc/wsdbm/User4013, http://db.uwaterloo.ca/~galuc/wsdbm/User3276, http://db.uwaterloo.ca/~galuc/wsdbm/User11116, http://db.uwaterloo.ca/~galuc/wsdbm/User10742, http://db.uwaterloo.ca/~galuc/wsdbm/User6657, http://db.uwaterloo.ca/~galuc/wsdbm/User15322, http://db.uwaterloo.ca/~galuc/wsdbm/User3075, http://db.uwaterloo.ca/~galuc/wsdbm/User13987]"
42,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3801, http://db.uwaterloo.ca/~galuc/wsdbm/User9963]"
43,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4371, http://db.uwaterloo.ca/~galuc/wsdbm/User5756]"
44,"[http://db.uwaterloo.ca/~galuc/wsdbm/User12827, http://db.uwaterloo.ca/~galuc/wsdbm/User6931, http://db.uwaterloo.ca/~galuc/wsdbm/User15778, http://db.uwaterloo.ca/~galuc/wsdbm/User6293, http://db.uwaterloo.ca/~galuc/wsdbm/User5688, http://db.uwaterloo.ca/~galuc/wsdbm/User6787, http://db.uwaterloo.ca/~galuc/wsdbm/User15782, http://db.uwaterloo.ca/~galuc/wsdbm/User2980, http://db.uwaterloo.ca/~galuc/wsdbm/User7254, http://db.uwaterloo.ca/~galuc/wsdbm/User9136, http://db.uwaterloo.ca/~galuc/wsdbm/User6865, http://db.uwaterloo.ca/~galuc/wsdbm/User13816, http://db.uwaterloo.ca/~galuc/wsdbm/User1479, http://db.uwaterloo.ca/~galuc/wsdbm/User16819, http://db.uwaterloo.ca/~galuc/wsdbm/User18833, http://db.uwaterloo.ca/~galuc/wsdbm/User10941, http://db.uwaterloo.ca/~galuc/wsdbm/User3842, http://db.uwaterloo.ca/~galuc/wsdbm/User3539, http://db.uwaterloo.ca/~galuc/wsdbm/User3495, http://db.uwaterloo.ca/~galuc/wsdbm/User10424, http://db.uwaterloo.ca/~galuc/wsdbm/User12860, http://db.uwaterloo.ca/~galuc/wsdbm/User4049]"
45,"[http://db.uwaterloo.ca/~galuc/wsdbm/User2551, http://db.uwaterloo.ca/~galuc/wsdbm/User10777, http://db.uwaterloo.ca/~galuc/wsdbm/User5240, http://db.uwaterloo.ca/~galuc/wsdbm/User5548, http://db.uwaterloo.ca/~galuc/wsdbm/User14766, http://db.uwaterloo.ca/~galuc/wsdbm/User7526, http://db.uwaterloo.ca/~galuc/wsdbm/User5907, http://db.uwaterloo.ca/~galuc/wsdbm/User7081, http://db.uwaterloo.ca/~galuc/wsdbm/User12528, http://db.uwaterloo.ca/~galuc/wsdbm/User8488]"
46,"[http://db.uwaterloo.ca/~galuc/wsdbm/User18275, http://db.uwaterloo.ca/~galuc/wsdbm/User18052, http://db.uwaterloo.ca/~galuc/wsdbm/User18973, http://db.uwaterloo.ca/~galuc/wsdbm/User8899, http://db.uwaterloo.ca/~galuc/wsdbm/User6582, http://db.uwaterloo.ca/~galuc/wsdbm/User9344, http://db.uwaterloo.ca/~galuc/wsdbm/User19790, http://db.uwaterloo.ca/~galuc/wsdbm/User6652]"
47,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9052, http://db.uwaterloo.ca/~galuc/wsdbm/User7021, http://db.uwaterloo.ca/~galuc/wsdbm/User19490, http://db.uwaterloo.ca/~galuc/wsdbm/User1141, http://db.uwaterloo.ca/~galuc/wsdbm/User2747, http://db.uwaterloo.ca/~galuc/wsdbm/User11833, http://db.uwaterloo.ca/~galuc/wsdbm/User14276, http://db.uwaterloo.ca/~galuc/wsdbm/User1345, http://db.uwaterloo.ca/~galuc/wsdbm/User7338, http://db.uwaterloo.ca/~galuc/wsdbm/User13995, http://db.uwaterloo.ca/~galuc/wsdbm/User18834]"
48,"[http://db.uwaterloo.ca/~galuc/wsdbm/User1278, http://db.uwaterloo.ca/~galuc/wsdbm/User9081, http://db.uwaterloo.ca/~galuc/wsdbm/User4419, http://db.uwaterloo.ca/~galuc/wsdbm/User938]"
49,"[http://db.uwaterloo.ca/~galuc/wsdbm/User11596, http://db.uwaterloo.ca/~galuc/wsdbm/User13881, http://db.uwaterloo.ca/~galuc/wsdbm/User13531, http://db.uwaterloo.ca/~galuc/wsdbm/User13346, http://db.uwaterloo.ca/~galuc/wsdbm/User11383]"
50,"[http://db.uwaterloo.ca/~galuc/wsdbm/User2783, http://db.uwaterloo.ca/~galuc/wsdbm/User11788]"
51,"[http://db.uwaterloo.ca/~galuc/wsdbm/User18687, http://db.uwaterloo.ca/~galuc/wsdbm/User8673, http://db.uwaterloo.ca/~galuc/wsdbm/User15148]"
52,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14911, http://db.uwaterloo.ca/~galuc/wsdbm/User10338, http://db.uwaterloo.ca/~galuc/wsdbm/User14309, http://db.uwaterloo.ca/~galuc/wsdbm/User15045]"
53,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3585, http://db.uwaterloo.ca/~galuc/wsdbm/User18694, http://db.uwaterloo.ca/~galuc/wsdbm/User11190]"
54,"[http://db.uwaterloo.ca/~galuc/wsdbm/User1132, http://db.uwaterloo.ca/~galuc/wsdbm/User18873, http://db.uwaterloo.ca/~galuc/wsdbm/User2607, http://db.uwaterloo.ca/~galuc/wsdbm/User15066, http://db.uwaterloo.ca/~galuc/wsdbm/User19027, http://db.uwaterloo.ca/~galuc/wsdbm/User18190]"
55,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4520, http://db.uwaterloo.ca/~galuc/wsdbm/User5007, http://db.uwaterloo.ca/~galuc/wsdbm/User2979, http://db.uwaterloo.ca/~galuc/wsdbm/User18921, http://db.uwaterloo.ca/~galuc/wsdbm/User6927, http://db.uwaterloo.ca/~galuc/wsdbm/User10678, http://db.uwaterloo.ca/~galuc/wsdbm/User3947, http://db.uwaterloo.ca/~galuc/wsdbm/User16197, http://db.uwaterloo.ca/~galuc/wsdbm/User12385, http://db.uwaterloo.ca/~galuc/wsdbm/User12466, http://db.uwaterloo.ca/~galuc/wsdbm/User3430]"
56,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14278, http://db.uwaterloo.ca/~galuc/wsdbm/User11829, http://db.uwaterloo.ca/~galuc/wsdbm/User9406, http://db.uwaterloo.ca/~galuc/wsdbm/User19859, http://db.uwaterloo.ca/~galuc/wsdbm/User1707, http://db.uwaterloo.ca/~galuc/wsdbm/User11381, http://db.uwaterloo.ca/~galuc/wsdbm/User16470, http://db.uwaterloo.ca/~galuc/wsdbm/User12662, http://db.uwaterloo.ca/~galuc/wsdbm/User11908, http://db.uwaterloo.ca/~galuc/wsdbm/User15769, http://db.uwaterloo.ca/~galuc/wsdbm/User7183, http://db.uwaterloo.ca/~galuc/wsdbm/User6355, http://db.uwaterloo.ca/~galuc/wsdbm/User11137, http://db.uwaterloo.ca/~galuc/wsdbm/User9767, http://db.uwaterloo.ca/~galuc/wsdbm/User12802, http://db.uwaterloo.ca/~galuc/wsdbm/User15836, http://db.uwaterloo.ca/~galuc/wsdbm/User11609]"
57,"[http://db.uwaterloo.ca/~galuc/wsdbm/User1663, http://db.uwaterloo.ca/~galuc/wsdbm/User12979, http://db.uwaterloo.ca/~galuc/wsdbm/User10231, http://db.uwaterloo.ca/~galuc/wsdbm/User8655, http://db.uwaterloo.ca/~galuc/wsdbm/User15920]"
